row,word
0,你好
1, 我
2, 大卫
3, 叫
4,你好
5, 我
6, 大卫
7, 叫
8, 一倍
9, 产业
10, 并
11, 拯救
12, 房市
13, 金融家
14, 而
15, 世界
16, 世界各地
17, 又
18, 房价
19, 用尽
20, 赚取
21, 爆发
22, ”
23, 浮滥
24, 再
25, 利率政策
26, 中心
27, 已经
28, 该类
29, 纷纷
30, 没有
31, 家庭
32, 全球化
33, 利用
34, 全球
35, 实体
36, 崩溃
37, 网络
38, 收益
39, 研究
40, 从未
41, 本质
42, 、
43, 达
44, 亚洲
45, 实质
46, 抬道琼
47, 各国
48, 成为
49, 解除
50, 衍生
51, 金融
52, 储蓄
53, 失业率
54, 获得
55, 商业
56, 2007
57, 房贷
58, 认为
59, 生活
60, 上台
61, 资本家
62, 至今
63, 财政
64, 小布什
65, 主导
66, 消费
67, 到
68, 多
69, 美林
70, 市场
71, 优势
72, 拉升
73, 初期
74, 卖
75, 照涨
76, 劳工
77, 行不通
78, 包装
79, 为
80, 商品
81, 崩盘
82, 陷入
83, 衰退
84, 荣景
85," 
"
86, 证券
87, 低
88, 这是
89, 郊区
90, 缓急
91, 中
92, 疲弱
93, 地位
94, 乞求
95, 总
96, 5
97, 后续
98, 由
99, 会
100, 掩盖
101, 10
102, 欧洲
103, 产业结构
104, and
105, 分担
106, 水平
107, 拉
108, 海啸
109, 超过
110, 出现
111, 官方
112, 调整
113, 政府
114, 编辑
115, 负债
116, 加上
117, 成长
118, 错失
119, 利空消息
120, 吸引
121, 且
122, 年
123, 再次
124, 后
125, 发展
126, 政权
127, 房产
128, CNN
129, 的
130, 在
131, 0%
132, 金融业
133, 经济
134, 实行
135, 地狱
136, 美金
137, 倒闭
138, 通货膨胀
139, 机会
140, 风暴
141, 一值
142, 手续费
143, 共和党
144, 收入
145, 次贷
146, 卖往
147, 21
148, 指数
149, 高
150, 预算
151, 动乱
152, 兆
153, 反而
154, 20
155, 消费型
156, 许多
157, 注意力
158, 问题
159, 趋势
160, 倍
161, 利率
162, Policy
163, 大城市
164, 地段
165, 薪资
166, 印
167, 最佳
168, 意图
169, 少数
170, 下降
171, 风险
172, 尤其
173, 日本式
174, 贫富差距
175, 债务
176, 多数
177, 2008
178, 花旗银行
179, 其
180, 伊拉克
181, 然而
182, 十年
183, 国家
184, 手段
185, 日本
186, 全面
187, 前
188, 美元
189, 发动
190, Center
191, 资源
192, 措施
193, 进行
194, 极大
195, 等
196, 状况
197, 以
198, on
199, 无以为继
200, 停滞
201, 下调
202, 又现
203, 不断
204, 起色
205, 将
206, 是
207, 13
208, 管制
209, 换来
210, 严峻
211, 3
212, 钞票
213, 前途
214, 仿照
215, 颓势
216, 全部
217, 流入
218, 依然
219, 维持
220, 雷曼
221, -
222, 因为
223, 未来
224, 时代
225, 性
226, 内涵
227, 杂志
228, Budget
229, Priorities
230, 评级
231, 宽松
232, 飙升
233, (
234, 次级
235, 国债
236, 世纪
237, 资金
238, 10%
239, 美国
240,泡沫
241, 抬
242, 其实
243, 欧美
244, 该
245, 年内
246, 反恐
247, 股市
248, 大型
249, 民主党
250, 确实
251, 但是
252, 战争
253, 顶尖
254, )
255, 从而
256, 诸多
257, 不同
258, 兄弟
259, 911
260, 9.1%
261, 困
262, 阿富汗
263, 称为
264, 2011
265, 只
266, 达到
267, 6
268, 市
269, 世纪末
270, 中高级
271, 和
272, 内销
273, 货币政策
274, 制造业
275, 企业
276, 主
277, 与
278, 攻击
279, 泡沫
280, 政策
281, 回
282, 却
283, 量化
284, 但
285, 导致
286, 动能
287, 接近
288, 救
289, 印钞
290, 联准
291, 承受力
292, 高位
293, 并未
294, 通用汽车
295, 纾
296, “
297, 一度
298, 炒作
299, 也
300, 直到
301, 了
302, 同时
303, 华尔街
304, 上涨
305, 恐怖
306, 几乎
307, 双拉
308, 带来
309,  
310, 预测
311, 高涨
312, 中产阶级
313, 失落
314, 泡沫化
